127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002582
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002060
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.003350
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001402
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001257
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002475
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.003647
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002131
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001876
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.005828
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.003688
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001696
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000776
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.005416
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002745
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.005525
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.004011
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002036
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.000527
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000938
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000519
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.008951
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.006814
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.000564
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001259
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.015950
127.0.0.1, 2018-01-03 13:33:01, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.000439
127.0.0.1, 2018-01-03 13:33:01, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.053401
127.0.0.1, 2018-01-03 13:33:02, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.275319
127.0.0.1, 2018-01-03 13:33:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.351829
127.0.0.1, 2018-01-03 13:33:02, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.393177
127.0.0.1, 2018-01-03 13:33:03, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.705014
127.0.0.1, 2018-01-03 13:33:31, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.022057
127.0.0.1, 2018-01-03 13:33:31, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.017361
127.0.0.1, 2018-01-03 13:33:31, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.010473
127.0.0.1, 2018-01-03 13:33:31, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.033320
127.0.0.1, 2018-01-03 13:33:31, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.188469
127.0.0.1, 2018-01-03 13:33:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.225534
127.0.0.1, 2018-01-03 13:33:33, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.618358
127.0.0.1, 2018-01-03 13:34:30, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.081694
127.0.0.1, 2018-01-03 13:34:33, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.021644
127.0.0.1, 2018-01-03 13:34:34, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.020161
127.0.0.1, 2018-01-03 13:34:34, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.046069
127.0.0.1, 2018-01-03 13:34:34, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.215582
127.0.0.1, 2018-01-03 13:34:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.295077
127.0.0.1, 2018-01-03 13:34:34, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.369888
127.0.0.1, 2018-01-03 13:34:36, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.895906
127.0.0.1, 2018-01-03 13:34:45, GET, /admin/default/site, HTTP/1.1, 200, 0.023813
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.003381
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.001138
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.001234
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.003696
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.003566
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.003135
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.001806
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/images/favicon.ico, HTTP/1.1, 304, 0.001919
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000481
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.004484
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.001548
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.001106
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.001562
127.0.0.1, 2018-01-03 13:53:48, GET, /examples/default/index, HTTP/1.1, 200, 0.136027
127.0.0.1, 2018-01-03 13:53:50, GET, /admin/default/index, HTTP/1.1, 303, 0.006869
127.0.0.1, 2018-01-03 13:53:50, GET, /admin/default/site, HTTP/1.1, 200, 0.023932
127.0.0.1, 2018-01-03 13:53:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.083939
127.0.0.1, 2018-01-03 13:53:57, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001190
127.0.0.1, 2018-01-03 13:53:57, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001129
127.0.0.1, 2018-01-03 13:53:57, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003692
127.0.0.1, 2018-01-03 13:53:57, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.005605
127.0.0.1, 2018-01-03 13:53:57, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.003639
127.0.0.1, 2018-01-03 13:53:57, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001052
127.0.0.1, 2018-01-03 13:53:57, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.006165
127.0.0.1, 2018-01-03 13:53:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.007123
127.0.0.1, 2018-01-03 13:53:57, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.009140
127.0.0.1, 2018-01-03 13:54:03, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.078385
127.0.0.1, 2018-01-03 13:54:16, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.023204
127.0.0.1, 2018-01-03 13:54:16, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.020258
127.0.0.1, 2018-01-03 13:54:16, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.068664
127.0.0.1, 2018-01-03 13:54:17, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.327962
127.0.0.1, 2018-01-03 13:54:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.342957
127.0.0.1, 2018-01-03 13:54:17, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.332072
127.0.0.1, 2018-01-03 13:54:17, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.482545
127.0.0.1, 2018-01-03 13:55:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057039
127.0.0.1, 2018-01-03 13:55:20, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.275782
127.0.0.1, 2018-01-03 13:56:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.149019
127.0.0.1, 2018-01-03 13:56:22, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.726479
127.0.0.1, 2018-01-03 13:57:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.099000
127.0.0.1, 2018-01-03 13:57:22, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.766918
127.0.0.1, 2018-01-03 13:58:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.209132
127.0.0.1, 2018-01-03 13:58:22, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 2.224091
127.0.0.1, 2018-01-03 14:00:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063673
127.0.0.1, 2018-01-03 14:00:46, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.229390
127.0.0.1, 2018-01-03 14:02:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.189266
127.0.0.1, 2018-01-03 14:02:15, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.521207
127.0.0.1, 2018-01-03 14:03:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.167617
127.0.0.1, 2018-01-03 14:03:15, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.546413
127.0.0.1, 2018-01-03 14:04:26, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.148359
127.0.0.1, 2018-01-03 14:04:27, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.290380
127.0.0.1, 2018-01-03 14:35:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.289951
127.0.0.1, 2018-01-03 14:35:17, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.412450
127.0.0.1, 2018-01-03 14:37:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.054680
127.0.0.1, 2018-01-03 14:37:02, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.198204
127.0.0.1, 2018-01-03 14:38:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078829
127.0.0.1, 2018-01-03 14:38:18, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.262636
127.0.0.1, 2018-01-03 14:42:45, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.240989
127.0.0.1, 2018-01-03 14:42:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.152663
127.0.0.1, 2018-01-03 14:48:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070523
